Dates,Sales
03/17/2021,967.25
03/18/2021,596
03/19/2021,1195
03/20/2021,1681
03/21/2021,2935.75
03/22/2021,857.5
03/23/2021,1159.5
03/24/2021,1162
03/25/2021,434.5
03/26/2021,1187.5
03/27/2021,2374
03/28/2021,3372.5
03/29/2021,1233.75
03/30/2021,1682
03/31/2021,1546.5
04/01/2021,1682.75
04/02/2021,2044.5
04/03/2021,1689.75
04/04/2021,2637.25
04/05/2021,1560.75
04/06/2021,1991.25
04/07/2021,2003.75
04/08/2021,1571
04/09/2021,2308.75
04/10/2021,2565
04/11/2021,2171.25
04/12/2021,999.75
04/13/2021,998.75
04/14/2021,991.25
04/15/2021,845.75
04/16/2021,1081.75
04/17/2021,2436.5
04/18/2021,4454
04/19/2021,1154.75
04/20/2021,1453.25
04/21/2021,1072.25
04/22/2021,830
04/23/2021,1087.25
04/24/2021,1373
04/25/2021,2364.5
04/26/2021,1007
04/27/2021,1164.75
04/28/2021,1283.5
04/29/2021,1405.25
04/30/2021,2113.75
05/01/2021,2754.5
05/02/2021,2693.5
05/03/2021,1801
05/04/2021,1578.25
05/05/2021,1071.5
05/06/2021,829.25
05/07/2021,1476.5
05/08/2021,1842.5
05/09/2021,2795.5
05/10/2021,986.75
05/11/2021,1272.25
05/12/2021,1145.75
05/13/2021,864.5
05/14/2021,1343.5
05/15/2021,2219.75
05/16/2021,1457.5
05/17/2021,1065.5
05/18/2021,1693.25
05/19/2021,1155.5
05/20/2021,1182
05/21/2021,2104.75
05/22/2021,2590.25
05/23/2021,3266.5
05/24/2021,1926
05/25/2021,2155.25
05/26/2021,1544.25
05/27/2021,1214.75
05/28/2021,4055.5
05/29/2021,3278.5
05/30/2021,3207
05/31/2021,4246.25
06/01/2021,1173.75
06/02/2021,1027.25
06/03/2021,1357.25
06/04/2021,1891
06/05/2021,3353.5
06/06/2021,2771
06/07/2021,870.5
06/08/2021,1739.5
06/09/2021,2428.25
06/10/2021,2084.75
06/11/2021,5081.75
06/12/2021,4411.75
06/13/2021,3553.5
06/14/2021,3088.25
06/15/2021,3455
06/16/2021,3033.25
06/17/2021,2873
06/18/2021,4054.25
06/19/2021,3675.25
06/20/2021,3105.5
06/21/2021,2495.5
06/22/2021,3022.5
